Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
ISOBUTANE;PROPYLENE CARBONATE;CC(C)C;CC1COC(=O)O1;-0.87
BUTYL ACETATE;METHANOL;CCCCOC(=O)C;CO;-5.36
MOLECULAR NITROGEN;NONANOL;N#N;CCCCCCCCCO;1.42
nitrobenzene;water;c1ccc(cc1)[N+](=O)[O-];O;-0.08244692539772143
METHANOL;ISOBUTANOL;CO;CC(C)CO;-4.31
1,2-dichlorobenzene;water;c1ccc(c(c1)Cl)Cl;O;0.6354016130069352
AMMONIA;METHANOL;N;CO;-3.08
1-BROMOBUTANE;HEXADECANE;CCCCBr;CCCCCCCCCCCCCCCC;-4.24
PENTANE;DIMETHYL SULFOXIDE;CCCCC;CS(=O)C;-1.47
NITRIC OXIDE;HEXANE;[N]=O;CCCCCC;0.45
ISOAMYL ACETATE;HEXADECANE;CC(C)CCOC(=O)C;CCCCCCCCCCCCCCCC;-5.12
1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE;DIISOPROPYL ETHER;C(C(F)(Cl)Cl)(F)(F)Cl;CC(C)OC(C)C;-3.49
TERT-BUTYL CHLORIDE;METHOXYETHANOL;CC(C)(C)Cl;COCCO;-3.31
BUTADIENE;ETHYLENE GLYCOL;C=CC=C;C(CO)O;-1.35
BUTYL IODIDE;CARBON TETRACHLORIDE;CCCCI;C(Cl)(Cl)(Cl)Cl;-5.57
NONANE;ACETONITRILE;CCCCCCCCC;CC#N;-4.12
CARBON DIOXIDE;PROPYLENE CARBONATE;C(=O)=O;CC1COC(=O)O1;-0.86
CHLOROTRIFLUOROMETHANE;CARBON TETRACHLORIDE;C(F)(F)(F)Cl;C(Cl)(Cl)(Cl)Cl;-0.6
Daiflon S2;TETRAHYDROFURAN;C(C(F)(Cl)Cl)(F)(Cl)Cl;C1CCOC1;-4.82
ISOBUTANOL;TOLUENE;CC(C)CO;Cc1ccccc1;-4.21
ACETONITRILE;METHANOL;CC#N;CO;-4.04
TERT-BUTYL BROMIDE;HEXANE;CC(C)(C)Br;CCCCCC;-3.75
PERFLUOROMETHANE;CYCLOHEXANONE;C(F)(F)(F)F;C1CCC(=O)CC1;1.41
DIHYDROGEN;HEXANOL;[HH];CCCCCCO;1.61
3-METHYLBUTAN-1-OL;O-XYLENE;CC(C)CCO;Cc1ccccc1C;-4.94
ETHYL BUTANOATE;OCTANE;CCCC(=O)OCC;CCCCCCCC;-4.69
TERT-BUTYL BROMIDE;1-PROPANOL;CC(C)(C)Br;CCCO;-3.19
TOLUENE;2,2,4-TRIMETHYLPENTANE;Cc1ccccc1;CC(C)CC(C)(C)C;-4.68
HALOTHANE;TETRAHYDROFURAN;C(C(F)(F)F)(Cl)Br;C1CCOC1;-5.01
OCTANE;1,2-PROPANEDIOL;CCCCCCCC;CC(CO)O;-2.72
CARBON TETRACHLORIDE;HEXANE;C(Cl)(Cl)(Cl)Cl;CCCCCC;-4.13
SULFUR DIOXIDE;DIMETHYLFORMAMIDE;O=S=O;CN(C)C=O;-3.63
HEPTAN-1-OL;IODOBENZENE;CCCCCCCO;c1ccc(cc1)I;-6.51
ETHYL ACETATE;TETRAHYDROFURAN;CCOC(=O)C;C1CCOC1;-4.56
PROPYLCYCLOHEXANE;N-METHYLPYRROLIDONE;CCCC1CCCCC1;CN1CCCC1=O;-4.57
CARBON TETRACHLORIDE;ACETOPHENONE;C(Cl)(Cl)(Cl)Cl;CC(=O)c1ccccc1;-3.99
NEOPENTANE;METHANOL;CC(C)(C)C;CO;-1.91
ETHYL ACETATE;CARBON TETRACHLORIDE;CCOC(=O)C;C(Cl)(Cl)(Cl)Cl;-4.24
1,4-DIOXANE;ACETONITRILE;C1COCCO1;CC#N;-5.24
PENTAN-2-ONE;PENTAN-2-ONE;CCCC(=O)C;CCCC(=O)C;-5.03
CUMENE;FORMAMIDE;CC(C)C1=CC=CC=C1;C(=O)N;-3.38
HEPTANE;PROPYLENE CARBONATE;CCCCCCC;CC1COC(=O)O1;-2.56
CHLOROBENZENE;ETHYLENE GLYCOL;C1=CC=C(C=C1)Cl;C(CO)O;-3.87
butanal;water;CCCC=O;O;0.16203772174009637
PENTANOL;CHLOROBENZENE;CCCCCO;c1ccc(cc1)Cl;-5.35
HEXANOL;HEPTANE;CCCCCCO;CCCCCCC;-5.28
ISOBUTANOL;DIISOPROPYL ETHER;CC(C)CO;CC(C)OC(C)C;-4.94
N-BUTANOL;ISOPROPANOL;CCCCO;CC(C)O;-6.1
CARBON MONOXIDE;PROPYL ACETATE;[C-]#[O+];CCCOC(=O)C;0.83
MOLECULAR NITROGEN;PENTANOL;N#N;CCCCCO;1.28
ISOBUTYRALDEHYDE;N,N-DIMETHYLACETAMIDE;CC(C)C=O;CC(=O)N(C)C;-4.04
TERT-BUTANOL;P-XYLENE;CC(C)(C)O;Cc1ccc(cc1)C;-3.36
TRIETHYLAMINE;ISOPROPANOL;CCN(CC)CC;CC(C)O;-4.52
2-propan-2-yloxypropane;water;CC(C)OC(C)C;O;0.8512763546286254
CYCLOHEXANE;DICHLOROMETHANE;C1CCCCC1;C(Cl)Cl;-4.1
TERT-BUTYL CHLORIDE;TETRAHYDROFURAN;CC(C)(C)Cl;C1CCOC1;-3.41
2-BUTANOL;METHYLCYCLOHEXANE;CCC(C)O;CC1CCCCC1;-3.86
chloromethylbenzene;water;c1ccc(cc1)CCl;O;0.4871502844233648
ISOBUTANOL;1-OCTANOL;CC(C)CO;CCCCCCCCO;-5.36
N-propylpropan-1-amine;water;CCCNCCC;O;0.039795398171187525
CARBON TETRACHLORIDE;DIETHYLENE GLYCOL DIBUTYL ETHER;C(Cl)(Cl)(Cl)Cl;CCCCOCCOCCOCCCC;-4.15
ACETONITRILE;FORMAMIDE;CC#N;C(=O)N;-4.37
HALOTHANE;HEXADECANE;C(C(F)(F)F)(Cl)Br;CCCCCCCCCCCCCCCC;-2.97
MOLECULAR NITROGEN;HEPTAN-1-OL;N#N;CCCCCCCO;1.34
BUTANONE;BROMOETHANE;CCC(=O)C;CCBr;-4.67
BROMOPENTANE;HEXADECANE;CCCCCBr;CCCCCCCCCCCCCCCC;-4.93
TERT-BUTANOL;HEPTANE;CC(C)(C)O;CCCCCCC;-3.01
N,N-dimethylformamide;water;CN(C)C=O;O;-1.0421792104387293
2-HEXANONE;FORMAMIDE;CCCCC(=O)C;C(=O)N;-4.46
DIETHYLAMINE;ETHYLBENZENE;CCNCC;CCC1=CC=CC=C1;-3.88
2,2,4-TRIMETHYLPENTANE;METHYL TERT-BUTYL ETHER;CC(C)CC(C)(C)C;CC(C)(C)OC;-4.65
CHLOROBENZENE;2-PROPOXYETHANOL;c1ccc(cc1)Cl;CCCOCCO;-5.35
2,3-DIMETHYL-3-PENTANOL;CHLOROFORM;CCC(C)(C(C)C)O;C(Cl)(Cl)Cl;-6.86
CYCLOPENTENE;4-FORMYLMORPHOLINE;C1CC=CC1;C1COCCN1C=O;-2.52
1,4-DIOXANE;ACETIC ACID;C1COCCO1;CC(=O)O;-5.86
ACETONE;EPSILON-CAPROLACTONE;CC(=O)C;C1CCC(=O)OCC1;-3.77
HEPTANE;2-PENTANOL;CCCCCCC;CCCC(C)O;-3.99
1-PROPANOL;PROPYL ETHER;CCCO;CCCOCCC;-4.2
4-OCTANOL;DODECANE;CCCCC(CCC)O;CCCCCCCCCCCC;-6.02
PENTANE;1,4-DIOXANE;CCCCC;C1COCCO1;-2.58
CUMENE;TETRAHYDROFURAN;CC(C)C1=CC=CC=C1;C1CCOC1;-6.51
CUMENE;METHANOL;CC(C)C1=CC=CC=C1;CO;-5.18
CUMENE;HEXADECANE;CC(C)C1=CC=CC=C1;CCCCCCCCCCCCCCCC;-5.6
BROMOETHANE;CYCLOHEXANONE;CCBr;C1CCC(=O)CC1;-3.55
TRICHLOROETHYLENE;N-METHYLACETAMIDE;C(=C(Cl)Cl)Cl;CC(=O)NC;-4.35
2-METHYL-3-PENTANOL;OCTANE;CCC(C(C)C)O;CCCCCCCC;-4.72
ISOQUINOLINE;CHLOROFORM;C1=CC=C2C=NC=CC2=C1;C(Cl)(Cl)Cl;-9.41
CHLOROFORM;2,2,4-TRIMETHYLPENTANE;C(Cl)(Cl)Cl;CC(C)CC(C)(C)C;-3.52
DICHLOROETHANE;CHLOROFORM;C(CCl)Cl;C(Cl)(Cl)Cl;-4.69
HEPT-1-ENE;BUTYL ACETATE;CCCCCC=C;CCCCOC(=O)C;-4.28
METHYLCYCLOPENTANE;N-METHYLFORMAMIDE;CC1CCCC1;CNC=O;-2.67
PENTANE;N-BUTANOL;CCCCC;CCCCO;-2.7
METHYL ACETATE;N,N-DIBUTYLFORMAMIDE;CC(=O)OC;CCCCN(CCCC)C=O;-3.48
4,4-DIMETHYL-2-PENTANOL;OCTANE;CC(CC(C)(C)C)O;CCCCCCCC;-5.41
1-CHLOROPROPANE;OCTANE;CCCCl;CCCCCCCC;-3.22
1,4-DIOXANE;1-PROPANOL;C1COCCO1;CCCO;-4.46
PERFLUOROMETHANE;CHLOROBENZENE;C(F)(F)(F)F;C1=CC=C(C=C1)Cl;1.3
DIMETHYL ETHER;TETRAHYDROPYRAN;COC;C1CCOCC1;-2.21
CHLOROFORM;1,2-PROPANEDIOL;C(Cl)(Cl)Cl;CC(CO)O;-3.5
ETHYL ACETATE;HEXADECANE;CCOC(=O)C;CCCCCCCCCCCCCCCC;-3.24
HEPTAN-1-OL;TOLUENE;CCCCCCCO;Cc1ccccc1;-6.75
PROPANE;HEXANE;CCC;CCCCCC;-1.8
HEPTYLACETAT;HEPTYLACETAT;CCCCCCCOC(=O)C;CCCCCCCOC(=O)C;-7.39
ethoxybenzene;water;CCOc1ccccc1;O;0.4117241698808464
NONANE;PENTANE;CCCCCCCCC;CCCCC;-6.13
methanamine;water;CN;O;-0.19428564696076567
ETHANOL;TOLUENE;CCO;Cc1ccccc1;-3.0
CYCLOHEXENE;2-BUTOXYETHANOL;C1CCC=CC1;CCCCOCCO;-3.87
ETHANE;HEXANOL;CC;CCCCCCO;-0.58
TERT-BUTYL CHLORIDE;HEPTANE;CC(C)(C)Cl;CCCCCCC;-3.38
CYCLOHEXANE;BUTYRONITRILE;C1CCCCC1;CCCC#N;-3.55
chloromethane;water;CCl;O;0.846074553625693
CARBON DIOXIDE;TERT-BUTANOL;C(=O)=O;CC(C)(C)O;-0.41
CHLOROFORM;1-HEXADECENE;C(Cl)(Cl)Cl;CCCCCCCCCCCCCCC=C;-3.42
NITROMETHANE;PENTANE;C[N+](=O)[O-];CCCCC;-2.69
DIETHYL ETHER;N-BUTANOL;CCOCC;CCCCO;-3.1
CYCLOHEXANE;TERT-BUTANOL;C1CCCCC1;CC(C)(C)O;-3.67
1-PROPANOL;2,2,4-TRIMETHYLPENTANE;CCCO;CC(C)CC(C)(C)C;-3.0
ACETONE;N,N-DIETHYLACETAMIDE;CC(=O)C;CCN(CC)C(=O)C;-3.82
(1S,2R,8S,9R)-1,9,10,11,12,12-hexachloro-4,6-dioxa-5lambda4-thiatricyclo[7.2.1.02,8]dodec-10-ene 5-oxide;water;C1[C@@H]2[C@H](COS(=O)O1)[C@@]3(C(=C([C@]2(C3(Cl)Cl)Cl)Cl)Cl)Cl;O;-0.11105683091384912
PENTANE;N-ETHYLFORMAMIDE;CCCCC;CCNC=O;-2.11
ISOBUTENE;ETHYL ACETATE;CC(=C)C;CCOC(=O)C;-2.55
ACETOPHENONE;DODECANE;CC(=O)c1ccccc1;CCCCCCCCCCCC;-6.11
CHLOROFORM;N,N-DIBUTYLFORMAMIDE;C(Cl)(Cl)Cl;CCCCN(CCCC)C=O;-4.83
ALLYL ALCOHOL;N,N-DIMETHYLACETAMIDE;C=CCO;CC(=O)N(C)C;-4.69
2,2,4-TRIMETHYLPENTANE;TERT-BUTANOL;CC(C)CC(C)(C)C;CC(C)(C)O;-3.6
2-OCTANONE;HEPTANE;CCCCCCC(=O)C;CCCCCCC;-5.68
MOLECULAR NITROGEN;1-PROPANOL;N#N;CCCO;1.2
2-NITROANILINE;CHLOROFORM;C1=CC=C(C(=C1)N)[N+](=O)[O-];C(Cl)(Cl)Cl;-9.88
CARBON MONOXIDE;ACETIC ACID;[C-]#[O+];CC(=O)O;1.05
CARBON DIOXIDE;CYCLOOCTANE;C(=O)=O;C1CCCCCCC1;-0.13
ACROLEIN;UNDECANE;C=CC=O;CCCCCCCCCCC;-2.76
ISOHEXANE;OCTANE;CCCC(C)C;CCCCCCCC;-3.71
PENTYL ACETATE;HEXADECANE;CCCCCOC(=O)C;CCCCCCCCCCCCCCCC;-5.2
trimethoxymethane;water;COC(OC)OC;O;-0.1604739404417058
CYCLOHEXANE;NONANE;C1CCCCC1;CCCCCCCCC;-4.13
CARBON DISULFIDE;1,4-DIOXANE;C(=S)=S;C1COCCO1;-3.03
FLUOROBENZENE;FORMAMIDE;c1ccc(cc1)F;C(=O)N;-2.8
2-methylpropyl formate;water;CC(C)COC=O;O;0.4117241698808464
N-BUTANE;TETRAHYDROPYRAN;CCCC;C1CCOCC1;-2.44
1,4-DIOXANE;ETHYLENE GLYCOL;C1COCCO1;C(CO)O;-4.46
HEXENE;PHENYLAMINE;CCCCC=C;C1=CC=C(C=C1)N;-2.67
1,3-HEXADIENE;1-HEXADECENE;CC/C=C/C=C;CCCCCCCCCCCCCCC=C;-3.64
MOLECULAR NITROGEN;HEPTANE;N#N;CCCCCCC;0.88
ETHANAL;HEXADECANE;CC=O;CCCCCCCCCCCCCCCC;-1.68
DICHLOROETHANE;1-OCTANOL;C(CCl)Cl;CCCCCCCCO;-3.79
HEXANE;ETHYL BENZOATE;CCCCCC;CCOC(=O)C1=CC=CC=C1;-3.31
ACETONE;DECANE;CC(=O)C;CCCCCCCCCC;-2.47
METHANOL;PHENYLAMINE;CO;c1ccc(cc1)N;-3.86
BUTANONE;METHANOL;CCC(=O)C;CO;-4.56
CARBON DIOXIDE;DODECANE;C(=O)=O;CCCCCCCCCCCC;-0.26
METHYL ACETATE;DECANE;CC(=O)OC;CCCCCCCCCC;-2.8
HEPT-1-ENE;ETHYL ACETATE;CCCCCC=C;CCOC(=O)C;-4.07
ACETONITRILE;N,N-DIBUTYLFORMAMIDE;CC#N;CCCCN(CCCC)C=O;-4.08
2,5-DIMETHYLHEXANE;PENTANE;CC(C)CCC(C)C;CCCCC;-4.99
MOLECULAR NITROGEN;2-BUTANOL;N#N;CCC(C)O;1.23
ISOPROPANOL;P-XYLENE;CC(C)O;Cc1ccc(cc1)C;-3.39
N-BUTANE;PENTANE;CCCC;CCCCC;-2.61
HEXANE;N-METHYLPYRROLIDONE;CCCCCC;CN1CCCC1=O;-2.71
ETHYLENE;CHLOROBENZENE;C=C;C1=CC=C(C=C1)Cl;-0.61
METHYL PROPANOATE;CHLOROFORM;CCC(=O)OC;C(Cl)(Cl)Cl;-5.48
VINYLACETYLENE;1,4-DIOXANE;C=CC#C;C1COCCO1;-3.21
BUTADIENE;TRIBUTYL PHOSPHATE;C=CC=C;CCCCOP(=O)(OCCCC)OCCCC;-2.29
iodomethane;water;CI;O;0.757643936575844
BROMOBENZENE;2-ETHOXYETHANOL;c1ccc(cc1)Br;CCOCCO;-5.95
OCTYLAMINE;HEPTANE;CCCCCCCCN;CCCCCCC;-6.88
TETRAHYDROFURAN;HEXANE;C1CCOC1;CCCCCC;-3.68
methane;water;C;O;1.5093041814995602
PERFLUOROMETHANE;TETRAHYDROFURAN;C(F)(F)(F)F;C1CCOC1;1.0
METHANE;TETRAETHYLENE GLYCOL DIMETHYL ETHER;C;COCCOCCOCCOCCOC;0.83
CHLOROFORM;BUTANONE;C(Cl)(Cl)Cl;CCC(=O)C;-4.72
SULFUR HEXAFLUORIDE;TETRAHYDROPYRAN;FS(F)(F)(F)(F)F;C1CCOCC1;0.05
OCTANE;ACETIC ACID;CCCCCCCC;CC(=O)O;-4.01
ISOBUTENE;ACETONE;CC(=C)C;CC(=O)C;-2.37
PROPIONITRILE;METHYLCYCLOHEXANE;CCC#N;CC1CCCCC1;-3.56
4-METHYLPENTAN-2-ONE;1,4-DIOXANE;CC(C)CC(=O)C;C1COCCO1;-5.32
OCT-1-YNE;SULFOLANE;CCCCCCC#C;C1CCS(=O)(=O)C1;-4.21
METHYL FORMATE;1-OCTANOL;COC=O;CCCCCCCCO;-2.39
1-nitroethane;water;CC[N+](=O)[O-];O;0.024189995162390635
N,N-DIMETHYLANILINE;HEXADECANE;CN(C)C1=CC=CC=C1;CCCCCCCCCCCCCCCC;-6.49
VALERONITRILE;1-OCTANOL;CCCCC#N;CCCCCCCCO;-4.91
N-BUTYLAMINE;OCTANE;CCCCN;CCCCCCCC;-3.44
Daiflon S2;1,4-DIOXANE;C(C(F)(Cl)Cl)(F)(Cl)Cl;C1COCCO1;-4.46
2-HEXANONE;CHLOROBENZENE;CCCCC(=O)C;c1ccc(cc1)Cl;-5.84
OCTANE;TERT-AMYL METHYL ETHER;CCCCCCCC;CCC(C)(C)OC;-5.28
CHLOROBENZENE;3-METHYLBUTAN-1-OL;c1ccc(cc1)Cl;CC(C)CCO;-5.12
PERFLUOROMETHANE;ETHANOL;C(F)(F)(F)F;CCO;0.98
BENZONITRILE;ETHYLENE GLYCOL;C1=CC=C(C=C1)C#N;C(CO)O;-5.81
NONANE;DIMETHYLFORMAMIDE;CCCCCCCCC;CN(C)C=O;-4.28
DIHYDROGEN;PENTYL ACETATE;[HH];CCCCCOC(=O)C;1.91
BROMOBENZENE;PYRIDINE;c1ccc(cc1)Br;c1ccncc1;-6.34
PENTANE;1-PROPANOL;CCCCC;CCCO;-2.47
ETHYLCYCLOHEXANE;NONANE;CCC1CCCCC1;CCCCCCCCC;-5.32
ISOPROPANOL;N-BUTANOL;CC(C)O;CCCCO;-5.02
METHYL ACETATE;4-FORMYLMORPHOLINE;CC(=O)OC;C1COCCN1C=O;-3.63
HEXANE;PHENYLAMINE;CCCCCC;c1ccc(cc1)N;-2.33
1-DECENE;DIMETHYLFORMAMIDE;CCCCCCCCC=C;CN(C)C=O;-5.12
2-ETHOXYETHANOL;HEPTANE;CCOCCO;CCCCCCC;-3.85
DIPROPYLAMINE;TOLUENE;CCCNCCC;CC1=CC=CC=C1;-5.24
PROPYL ACETATE;TETRAETHYLENE GLYCOL DIMETHYL ETHER;CCCOC(=O)C;COCCOCCOCCOCCOC;-4.57
CYCLOHEXANE;PENTANE;C1CCCCC1;CCCCC;-4.23
ETBE;ETHYL BENZOATE;CCOC(C)(C)C;CCOC(=O)C1=CC=CC=C1;-3.85
P-TOLUIDINE;TOLUENE;CC1=CC=C(C=C1)N;CC1=CC=CC=C1;-7.39
PROPYL ACETATE;4-FORMYLMORPHOLINE;CCCOC(=O)C;C1COCCN1C=O;-4.42
WATER;1,4-DIOXANE;O;C1COCCO1;-4.22
CYCLOHEXANE;PYRIDINE;C1CCCCC1;C1=CC=NC=C1;-3.71
(2S)-2-chlorobutane;water;CC[C@H](C)Cl;O;0.9891240812063311
1,4-DIOXANE;N-METHYLACETAMIDE;C1COCCO1;C/C(=N/C)/O;-4.67
3-CHLOROTOLUENE;DIIODOMETHANE;CC1=CC(=CC=C1)Cl;C(I)I;-5.62
DECANE;P-XYLENE;CCCCCCCCCC;Cc1ccc(cc1)C;-6.68
2,4-DIMETHYLPENTANE;NITROBENZENE;CC(C)CC(C)C;C1=CC=C(C=C1)[N+](=O)[O-];-3.09
2-HEPTANONE;OCTANE;CCCCCC(=O)C;CCCCCCCC;-5.25
methyl benzoate;water;COC(=O)c1ccccc1;O;-0.03042891536839844
ISOPROPANOL;HEPTANE;CC(C)O;CCCCCCC;-2.61
TETRAHYDROFURAN;5,8,11,14-TETRAOXAOCTADECANE;C1CCOC1;CCCCOCCOCCOCCOCCCC;-3.85
MOLECULAR NITROGEN;DIBUTYL ETHER;N#N;CCCCOCCCC;0.93
O-XYLENE;2,2,4-TRIMETHYLPENTANE;Cc1ccccc1C;CC(C)CC(C)(C)C;-5.5
ethanol;water;CCO;O;-0.3113261695267423
ACETONE;METHYLCYCLOHEXANE;CC(=O)C;CC1CCCCC1;-2.58
2-BUTANOL;1-OCTANOL;CCC(C)O;CCCCCCCCO;-5.18
octane;water;CCCCCCCC;O;1.7381834256285815
OCTANE;ETHYL PHENYL ETHER;CCCCCCCC;CCOc1ccccc1;-4.79
1-CHLOROBUTANE;TRIBUTYL PHOSPHATE;CCCCCl;CCCCOP(=O)(OCCCC)OCCCC;-4.05
1-(2-hydroxyethylamino)anthracene-9,10-dione;water;c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO;O;-2.706755531377064
3-N,3-N-diethyl-2,4-dinitro-6-(trifluoromethyl)benzene-1,3-diamine;water;CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-];O;-0.48298560262350804
ETHYL ACETATE;2,2,4-TRIMETHYLPENTANE;CCOC(=O)C;CC(C)CC(C)(C)C;-3.53
METHYL TERT-BUTYL ETHER;1-METHYL-2-PIPERIDINONE;CC(C)(C)OC;CN1CCCCC1=O;-3.22
CHLOROFORM;HEXADECANE;C(Cl)(Cl)Cl;CCCCCCCCCCCCCCCC;-3.38
DIMETHYL ETHER;TOLUENE;COC;CC1=CC=CC=C1;-2.16
ETHYLBENZENE;DECANE;CCc1ccccc1;CCCCCCCCCC;-5.23
BENZENE;HEXADECANE;C1=CC=CC=C1;CCCCCCCCCCCCCCCC;-3.82
MOLECULAR OXYGEN;UNDECANE;O=O;CCCCCCCCCCC;0.79
NONANE;CYCLOHEXANONE;CCCCCCCCC;C1CCC(=O)CC1;-5.25
1-bromo-4-methylbenzene;water;Cc1ccc(cc1)Br;O;0.6275989115025367
CYCLOHEXANE;2-ETHOXYETHANOL;C1CCCCC1;CCOCCO;-3.49
(Z)-pent-2-ene;water;CC/C=C\C;O;1.3298420468983962
CYCLOHEXANE;PROPYL ETHER;C1CCCCC1;CCCOCCC;-4.12
WATER;TETRAETHYLENE GLYCOL DIMETHYL ETHER;O;COCCOCCOCCOCCOC;-4.38
CHLOROFORM;N-METHYLACETAMIDE;C(Cl)(Cl)Cl;C/C(=N/C)/O;-4.57
METHANOL;METHYL TERT-BUTYL ETHER;CO;CC(C)(C)OC;-3.45
DECANE;PYRIDINE;CCCCCCCCCC;c1ccncc1;-5.76
3-METHYLBUT-1-ENE;DODECANE;CC(C)C=C;CCCCCCCCCCCC;-2.69
DECAN-1-OL;HEXANE;CCCCCCCCCCO;CCCCCC;-7.69
1,2-DICHLOROPROPANE;2-ISOPROPOXYETHANOL;CC(CCl)Cl;CC(C)OCCO;-4.5
2-CHLOROPHENOL;HEXADECANE;C1=CC=C(C(=C1)O)Cl;CCCCCCCCCCCCCCCC;-6.74
(3S)-3-methylheptane;water;CCCC[C@@H](C)CC;O;1.7615915301417768
PERFLUOROMETHANE;METHANOL;C(F)(F)(F)F;CO;1.0
1,1-DIFLUOROETHANE;TOLUENE;CC(F)F;CC1=CC=CC=C1;-1.75
hex-1-yne;water;CCCCC#C;O;1.0645501957488492
PENTYL ACETATE;DECANE;CCCCCOC(=O)C;CCCCCCCCCC;-5.37
MONOCHLOROETHANE;HEXANE;CCCl;CCCCCC;-2.6
4-IODOPHENOL;CHLOROFORM;C1=CC(=CC=C1O)I;C(Cl)(Cl)Cl;-9.74
TRIETHYLAMINE;BUTANONE;CCN(CC)CC;CCC(=O)C;-4.16
ISOBUTYRIC ACID;CHLOROFORM;CC(C)C(=O)O;C(Cl)(Cl)Cl;-5.8
prop-2-en-1-ol;water;C=CCO;O;-0.3191288710311408
3-METHYLBUT-1-ENE;OCTANE;CC(C)C=C;CCCCCCCC;-2.92
4,6-NONANEDIONE;CHLOROBENZENE;CCCC(=O)CC(=O)CCC;C1=CC=C(C=C1)Cl;-8.23
2-BROMOPROPANE;PYRIDINE;CC(C)Br;C1=CC=NC=C1;-3.95
PROPENE;M-XYLENE;CC=C;CC1=CC(=CC=C1)C;-1.58
TETRAHYDROFURAN;1-METHYL-2-PIPERIDINONE;C1CCOC1;CN1CCCCC1=O;-3.92
PENT-1-ENE;BUTANONE;CCCC=C;CCC(=O)C;-2.88
HEXANOL;HEXANOL;CCCCCCO;CCCCCCO;-7.15
2,2,4-TRIMETHYLPENTANE;2,2,4-TRIMETHYLPENTANE;CC(C)CC(C)(C)C;CC(C)CC(C)(C)C;-4.58
DIETHYL ETHER;ETHYL BENZOATE;CCOCC;CCOC(=O)C1=CC=CC=C1;-3.11
SULFUR DIOXIDE;N,N-DIMETHYLACETAMIDE;O=S=O;CC(=O)N(C)C;-3.52
