Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
2-hexanone;tbutylbenzene;CCCCC(=O)C;CC(C)(C)C1=CC=CC=C1;-5.27
formaldehyde;butanol;C=O;CCCCO;-3.49
butylamine;perfluorobenzene;CCCCN;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-4.13
s-trans-1,3-butadiene;water;[2H]C(=C([2H])C(=C([2H])[2H])[2H])[2H];O;0.61
methanol;xylene;CO;CC1=CC(=CC=C1)C;-1.73
cyclohexane;chloroform;C1CCCCC1;C(Cl)(Cl)Cl;-4.45
4-mesyl-2,6-dinitro-N,N-dipropylaniline(nitralin);water;CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-];O;-8
2-heptanone;tetralin;CCCCCC(=O)C;C1CCC2=CC=CC=C2C1;-5.33
2-methylpyridine;chloroform;CC1=CC=CC=N1;C(Cl)(Cl)Cl;-6.98
1-bromopentane;hexadecane;CCCCCBr;CCCCCCCCCCCCCCCC;-4.93
nitromethane;chlorobenzene;C[N+](=O)[O-];C1=CC=C(C=C1)Cl;-4.32
phenol;onitrotoluene;C1=CC=C(C=C1)O;CC1=CC=CC=C1[N+](=O)[O-];-7.79
water;secbutanol;O;CCC(C)O;-5.71
methylpropanoate;nonane;CCC(=O)OC;CCCCCCCCC;-3.5
formamide;octanol;C(=O)N;CCCCCCCCO;-7.8
4-methylpyridine;benzene;CC1=CC=NC=C1;C1=CC=CC=C1;-6.17
toluene;butanone;CC1=CC=CC=C1;CCC(=O)C;-5.06
1-pentanol;hexadecane;CCCCCO;CCCCCCCCCCCCCCCC;-4.24
3,3-dimethylbutanone;ethylbenzene;CC(=O)C(C)(C)C;CCC1=CC=CC=C1;-4.92
dimethyl(RS)-2,2,2-trichloro-1-hydroxyethylphosphonate(trichlorfon);water;COP(=O)(C(C(Cl)(Cl)Cl)O)OC;O;-12.7
N,N-dimethylacetamide;heptane;CC(=O)N(C)C;CCCCCCC;-4.8
propylacetate;secbutylbenzene;CCCCC(=O)O;CCC(C)C1=CC=CC=C1;-4.62
1-butanol;octanol;CCCCO;CCCCCCCCO;-5.71
1-amino-anthraquinone;water;C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)N;O;-8
3,3-dimethylbutanone;decane;CC(=O)C(C)(C)C;CCCCCCCCCC;-4.15
dimethyl2,4,5-trichlorophenylthiophosphate;octanol;COP(=S)(OC)OC1=CC(=C(C=C1Cl)Cl)Cl;CCCCCCCCO;-11.69
ethanol;dibromoethane;CCO;CC(Br)Br;-2.69
butylacetate;octanol;CCCCCC(=O)[O-];CCCCCCCCO;-4.96
methanol;decane;CO;CCCCCCCCCC;-1.29
cyclopentanone;carbontet;C1CCC(=O)C1;C(Cl)(Cl)(Cl)Cl;-5.26
methanol;chlorobenzene;CO;C1=CC=C(C=C1)Cl;-2.44
m-cresol;xylene;CC1=CC(=CC=C1)O;CC1=CC(=CC=C1)C;-6.32
acetonitrile;chloroform;CC#N;C(Cl)(Cl)Cl;-4.44
methanol;ethylacetate;CO;CCOC(=O)C;-3.37
propylacetate;nonane;CCCCC(=O)O;CCCCCCCCC;-4.07
toluene;mcresol;CC1=CC=CC=C1;CC1=CC(=CC=C1)O;-4.58
5-bromouracil;ethylacetate;C1=C(C(=O)NC(=O)N1)Br;CCOC(=O)C;-17.93
bromobenzene;chloroform;C1=CC=C(C=C1)Br;C(Cl)(Cl)Cl;-6.07
1-heptanol;tributylphosphate;CCCCCCCO;CCCCOP(=O)(OCCCC)OCCCC;-7.98
acetone;chlorohexane;CC(=O)C;CCCCCCCl;-3.45
2-butanone;carbondisulfide;CCC(=O)C;C(=S)=S;-3.85
propylacetate;tbutylbenzene;CCCCC(=O)O;CC(C)(C)C1=CC=CC=C1;-4.72
urea;chloroform;C(=O)(N)N;C(Cl)(Cl)Cl;-8.56
acetophenone;carbontet;CC(=O)C1=CC=CC=C1;C(Cl)(Cl)(Cl)Cl;-7.1
propanoicacid;carbontet;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;C(Cl)(Cl)(Cl)Cl;-4.09
propylamine;pentanol;CCCN;CCCCCO;-4.88
thioanisole;water;CSC1=CC=CC=C1;O;-2.73
4-methylaniline;hexadecane;CC1=CC=C(C=C1)N;CCCCCCCCCCCCCCCC;-6.04
3,3-dimethylbutanone;octanol;CC(=O)C(C)(C)C;CCCCCCCCO;-4.53
n-propane;hexadecane;CCC;CCCCCCCCCCCCCCCC;-1.43
1,2-dichlorobenzene;hexadecane;C1=CC=C(C(=C1)Cl)Cl;CCCCCCCCCCCCCCCC;-6.16
m-xylene;heptane;CC1=CC(=CC=C1)C;CCCCCCC;-5.67
octachloro-4,7-methanohydroindane(chlordane);water;C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl;O;-3.4
1-hexanol;tributylphosphate;CCCCCCO;CCCCOP(=O)(OCCCC)OCCCC;-7.68
1-butanol;butanol;CCCCO;CCCCO;-6.03
ethylbenzene;water;CCC1=CC=CC=C1;O;-0.8
diethylamine;water;CCNCC;O;-4.07
fluorobenzene;fluorobenzene;C1=CC=C(C=C1)F;C1=CC=C(C=C1)F;-4.6
2-heptanone;tbutylbenzene;CCCCCC(=O)C;CC(C)(C)C1=CC=CC=C1;-5.88
p-bromophenol;bromobenzene;C1=CC(=CC=C1O)Br;C1=CC=C(C=C1)Br;-8.49
1,4-dioxane;bromobenzene;C1COCCO1;C1=CC=C(C=C1)Br;-5.02
ethyloctadecanoate;hexadecane;CCCCCCCCCCCCCCCCCC(=O)OCC;CCCCCCCCCCCCCCCC;-13.69
1-propanol;propanol;CCCO;CCCO;-5.29
piperazine;water;C1CNCCN1;O;-7.4
methylpentanoate;xylene;CCCCC(=O)OC;CC1=CC(=CC=C1)C;-5.61
1-hexanol;hexane;CCCCCCO;CCCCCC;-5.14
propanoicacid;chloroform;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;C(Cl)(Cl)Cl;-5.37
bromoform;bromoform;C(Br)(Br)Br;C(Br)(Br)Br;-6.21
m-cresol;4methyl2pentanone;CC1=CC(=CC=C1)O;CC(C)CC(=O)C;-8.79
4-nitroaniline;water;C1=CC(=CC=C1N)[N+](=O)[O-];O;-9.45
1,4-dioxane;carbondisulfide;C1COCCO1;C(=S)=S;-4.67
4-nitroaniline;octanol;C1=CC(=CC=C1N)[N+](=O)[O-];CCCCCCCCO;-11.35
butylacetate;cyclohexane;CCCCCC(=O)[O-];C1CCCCC1;-4.94
uracil;water;C1=CNC(=O)NC1=O;O;-16.59
dimethylamine;chloroform;CNC;C(Cl)(Cl)Cl;-3.69
butanoicacid;isobutanol;C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO;CC(C)CO;-7.62
n-octane;nitromethane;CCCCCCCC;C[N+](=O)[O-];-3.15
ethylamine;hexane;CCN;CCCCCC;-2.09
aniline;chlorobenzene;C1=CC=C(C=C1)N;C1=CC=C(C=C1)Cl;-6.72
2-ethylpyrazine;dibutylether;CCC1=NC=CN=C1;CCCCOCCCC;-5.87
methylhexanoate;dichloroethane;CCCCCC(=O)OC;CC(Cl)Cl;-6.57
n-octane;dimethylformamide;CCCCCCCC;CN(C)C=O;-3.77
methylpropanoate;xylene;CCC(=O)OC;CC1=CC(=CC=C1)C;-4.2
2-hexanone;trimethylbenzene;CCCCC(=O)C;CC1=C(C(=CC=C1)C)C;-5.39
2-butanone;fluorobenzene;CCC(=O)C;C1=CC=C(C=C1)F;-4.6
1,1-dimethylhydrazine;water;CN(C)N;O;-4.48
2-methyl-1-nitrobenzene;carbontet;CC1=CC=CC=C1[N+](=O)[O-];C(Cl)(Cl)(Cl)Cl;-7.49
1-pentanol;nonane;CCCCCO;CCCCCCCCC;-3.92
acetone;carbontet;CC(=O)C;C(Cl)(Cl)(Cl)Cl;-3.35
1,4-dioxane;mcresol;C1COCCO1;CC1=CC(=CC=C1)O;-6.82
3-methylaniline;water;CC1=CC(=CC=C1)N;O;-5.67
ethylbenzene;hexadecane;CCC1=CC=CC=C1;CCCCCCCCCCCCCCCC;-5.15
diethylamine;pentanol;CCNCC;CCCCCO;-5.3
nitrobenzene;cyclohexane;C1=CC=C(C=C1)[N+](=O)[O-];C1CCCCC1;-6.62
diiodomethane;octanol;C(I)I;CCCCCCCCO;-5.63
butylamine;iodobenzene;CCCCN;C1=CC=C(C=C1)I;-4.19
acetone;cyclohexane;CC(=O)C;C1CCCCC1;-2.67
aniline;octane;C1=CC=C(C=C1)N;CCCCCCCC;-4.84
thioanisole;octanol;CSC1=CC=CC=C1;CCCCCCCCO;-6.47
bromobenzene;cyclohexane;C1=CC=C(C=C1)Br;C1CCCCC1;-5.29
4-methylpyridine;hexadecane;CC1=CC=NC=C1;CCCCCCCCCCCCCCCC;-4.89
aceticacid;hexanol;CC(=O)O;CCCCCCO;-6.51
naphthalene;cyclohexane;C1=CC=C2C=CC=CC2=C1;C1CCCCC1;-7.17
2-pentanone;isopropylbenzene;CCCC(=O)C;CC(C)C1=CC=CC=C1;-4.84
3-bromopropene;octanol;C=CCBr;CCCCCCCCO;-3.3
fenbufen;octanol;C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O;CCCCCCCCO;-17.12
1-pentene;water;CCCC=C;O;1.66
O,O-diethyl-O-4-nitro-phenylthiophosphate(parathion);water;CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-];O;-6.7
p-hydroxybenzaldehyde;water;C1=CC(=CC=C1C=O)O;O;-10.48
2-butanone;chloroform;CCC(=O)C;C(Cl)(Cl)Cl;-5.43
1-heptanol;iodobenzene;CCCCCCCO;C1=CC=C(C=C1)I;-6.53
p-bromophenol;bromoform;C1=CC(=CC=C1O)Br;C(Br)(Br)Br;-8.49
2,2-dichloroethenyldimethylphosphate;octanol;COP(=O)(OC)OC=C(Cl)Cl;CCCCCCCCO;-8.59
methylamine;toluene;CN;CC1=CC=CC=C1;-2.65
o-cresol;heptane;CC1=CC=CC=C1O;CCCCCCC;-6.01
S-propyldipropyl(thiocarbamate)(vernolate);water;CCCN(CCC)C(=O)SCCC;O;-4.1
methylpropanoate;water;CCC(=O)OC;O;-2.93
propylamine;decanol;CCCN;CCCCCCCCCCO;-4.59
1,2-diethoxyethane;water;CCOCCOCC;O;-3.54
dimethylamine;benzene;CNC;C1=CC=CC=C1;-3.01
methylacetate;heptane;CC(=O)OC;CCCCCCC;-2.97
phenol;diisopropylether;C1=CC=C(C=C1)O;CC(C)OC(C)C;-8.35
ethylamine;butanol;CCN;CCCCO;-4.5
nitromethane;isopropanol;C[N+](=O)[O-];CC(C)O;-4
acetone;heptane;CC(=O)C;CCCCCCC;-2.61
dichloroethane;dichloroethane;CC(Cl)Cl;CC(Cl)Cl;-4.69
1-bromo-1,2,2,2-tetrafluoroethane;hexadecane;C(C(F)(F)F)(F)Br;CCCCCCCCCCCCCCCC;-1.87
methylacetate;hexadecane;CC(=O)OC;CCCCCCCCCCCCCCCC;-2.67
fenbufen;water;C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O;O;-12.75
1-propanol;isooctane;CCCO;CC(C)CC(C)(C)C;-3
aceticacid;benzylalcohol;CC(=O)O;C1=CC=C(C=C1)CO;-6.96
p-bromotoluene;water;CC1=CC=C(C=C1)Br;O;-1.39
3,3-dimethylbutanone;tetralin;CC(=O)C(C)(C)C;C1CCC2=CC=CC=C2C1;-4.19
pyridine;diisopropylether;C1=CC=NC=C1;CC(C)OC(C)C;-4.88
N-methylaniline;water;CNC1=CC=CC=C1;O;-4.68
1-pentanol;hexane;CCCCCO;CCCCCC;-4.38
1-nitropropane;carbondisulfide;CCC[N+](=O)[O-];C(=S)=S;-4.5
diethylpropanedioate;water;CCOC(=O)CC(=O)OCC;O;-6
1-heptanol;bromobenzene;CCCCCCCO;C1=CC=C(C=C1)Br;-6.68
1-butanol;cyclohexane;CCCCO;C1CCCCC1;-3.52
propylacetate;cyclohexane;CCCCC(=O)O;C1CCCCC1;-4.36
hydrogenperoxide;carbontet;OO;C(Cl)(Cl)(Cl)Cl;-3.14
methylhexanoate;decane;CCCCCC(=O)OC;CCCCCCCCCC;-5.48
4-methylaniline;decane;CC1=CC=C(C=C1)N;CCCCCCCCCC;-6.05
(1R,4S,4aS,5S,6S,7R,8R,8aR)-1,2,3,4,10,10-hexachloro-1,4,4a,5,6,7,8,8a-octahydro-6,7-epoxy-1,4:5,8-dimethanonaphthalene(endrin);water;C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl;O;-5.5
ammonia;4methyl2pentanone;N;CC(C)CC(=O)C;-2.52
toluene;fluorobenzene;CC1=CC=CC=C1;C1=CC=C(C=C1)F;-5.27
ethanol;nonane;CCO;CCCCCCCCC;-2.15
pentylacetate;decane;CCCCCOC(=O)C;CCCCCCCCCC;-5.31
1-butanol;butylacetate;CCCCO;CCCCCC(=O)[O-];-5.23
dimethyl4-bromo-2,5-dichlorophenylthiophosphate;water;COP(=S)(OC)OC1=CC(=C(C=C1Cl)Br)Cl;O;-5.7
hexachloroethane;water;C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl;O;-1.4
2-octanone;hexadecane;CCCCCCC(=O)C;CCCCCCCCCCCCCCCC;-5.81
n-octane;phenylether;CCCCCCCC;C1=CC=C(C=C1)OC2=CC=CC=C2;-4.38
2-pentanone;octane;CCCC(=O)C;CCCCCCCC;-3.97
n-butane;cyclohexane;CCCC;C1CCCCC1;-2.86
butanoicacid;octanol;C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO;CCCCCCCCO;-7.58
acetophenone;hexane;CC(=O)C1=CC=CC=C1;CCCCCC;-6.05
toluene;octanol;CC1=CC=CC=C1;CCCCCCCCO;-4.55
methylpentanoate;carbontet;CCCCC(=O)OC;C(Cl)(Cl)(Cl)Cl;-5.71
methylpentanoate;perfluorobenzene;CCCCC(=O)OC;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-5.59
p-dibromobenzene;heptane;C1=CC(=CC=C1Br)Br;CCCCCCC;-7.55
tetrahydropyran;octanol;C1CCOCC1;CCCCCCCCO;-4.21
2-hexanone;carbontet;CCCCC(=O)C;C(Cl)(Cl)(Cl)Cl;-5.47
methylbenzoate;isooctane;COC(=O)C1=CC=CC=C1;CC(C)CC(C)(C)C;-6.71
n-octane;dimethylacetamide;CCCCCCCC;CC(=O)N(C)C;-3.94
nitromethane;isooctane;C[N+](=O)[O-];CC(C)CC(C)(C)C;-2.82
4-methyl-2-pentanone;4methyl2pentanone;CC(C)CC(=O)C;CC(C)CC(=O)C;-5.23
acetone;tetralin;CC(=O)C;C1CCC2=CC=CC=C2C1;-2.54
diethylether;chloroform;CCOCC;C(Cl)(Cl)Cl;-4.32
ethanethiol;hexadecane;CCS;CCCCCCCCCCCCCCCC;-2.96
tetrahydropyran;cyclohexane;C1CCOCC1;C1CCCCC1;-4.41
hydrogenperoxide;diethylether;OO;CCOCC;-7.03
2,2,4-trimethylpentane;water;CC(C)CC(C)(C)C;O;2.85
trimethylamine;toluene;CN(C)C;CC1=CC=CC=C1;-2.71
anisole;chloroform;COC1=CC=CC=C1;C(Cl)(Cl)Cl;-6.24
butanoicacid;secbutanol;C1=CN=C(C=C1CO)C2=NC=CC(=C2)CO;CCC(C)O;-7.34
aniline;hexane;C1=CC=C(C=C1)N;CCCCCC;-5.43
o-cresol;octanol;CC1=CC=CC=C1O;CCCCCCCCO;-8.49
2-methylpyridine;2methylpyridine;CC1=CC=CC=N1;CC1=CC=CC=N1;-5.71
2-hexanone;perfluorobenzene;CCCCC(=O)C;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-5.55
dichloromethane;hexadecyliodide;C(Cl)Cl;CCCCCCCCCCCCCCCCI;-2.76
1-heptanol;dibromoethane;CCCCCCCO;CC(Br)Br;-6.64
ethylacetate;decalin;CCOC(=O)C;C1CCC2CCCCC2C1;-3.47
isopropanol;water;CC(C)O;O;-4.76
(RS)-2-sec-butyl-4,6-dinitrophenol(dinoseb);water;CCC(C)C1=C(C(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-])O;O;-6.2
m-cresol;decalin;CC1=CC(=CC=C1)O;C1CCC2CCCCC2C1;-5.11
1-heptanol;heptane;CCCCCCCO;CCCCCCC;-5.6
anisole;decalin;COC1=CC=CC=C1;C1CCC2CCCCC2C1;-5
3,5,5-trimethyl-2-cyclohexen-1-one(isophorone);water;CC1=CC(=O)CC(C1)(C)C;O;-5.2
1-hexanol;chloroform;CCCCCCO;C(Cl)(Cl)Cl;-6.67
chlorobenzene;decalin;C1=CC=C(C=C1)Cl;C1CCC2CCCCC2C1;-4.61
toluene;pyridine;CC1=CC=CC=C1;C1=CC=NC=C1;-5.1
methylpentanoate;heptane;CCCCC(=O)OC;CCCCCCC;-4.92
ethanol;iodobenzene;CCO;C1=CC=C(C=C1)I;-3.18
propylamine;carbontet;CCCN;C(Cl)(Cl)(Cl)Cl;-3.59
p-bromophenol;dichloroethane;C1=CC(=CC=C1O)Br;CC(Cl)Cl;-9.1
butylparaben;octanol;CCCCOC(=O)C1=CC=C(C=C1)O;CCCCCCCCO;-13.59
n-octane;octanol;CCCCCCCC;CCCCCCCCO;-4.18
n-octane;bromobenzene;CCCCCCCC;C1=CC=C(C=C1)Br;-5.02
1,1-dichloro-2,2-difluoroethylmethylether;octanol;COC(C(Cl)Cl)(F)F;CCCCCCCCO;-4.02
2-methylpyrazine;dibutylether;CC1=NC=CN=C1;CCCCOCCCC;-5.12
pyridine;hexadecane;C1=CC=NC=C1;CCCCCCCCCCCCCCCC;-4.1
4-methylaniline;xylene;CC1=CC=C(C=C1)N;CC1=CC(=CC=C1)C;-7.17
2-heptanone;xylene;CCCCCC(=O)C;CC1=CC(=CC=C1)C;-6.15
chloroform;water;C(Cl)(Cl)Cl;O;-1.07
3-methylaniline;cyclohexane;CC1=CC(=CC=C1)N;C1CCCCC1;-6.47
aceticacid;aceticacid;CC(=O)O;CC(=O)O;-5.3
p-bromophenol;hexanol;C1=CC(=CC=C1O)Br;CCCCCCO;-10.51
2-butanone;benzonitrile;CCC(=O)C;C1=CC=C(C=C1)C#N;-4.58
methylhexanoate;toluene;CCCCCC(=O)OC;CC1=CC=CC=C1;-6.38
trimethylamine;water;CN(C)C;O;-3.23
1-bromopropane;water;CCCBr;O;-0.56
thiophene;heptane;C1=CSC=C1;CCCCCCC;-4.09
2-butanone;pyridine;CCC(=O)C;C1=CC=NC=C1;-4.61
3,3-dimethylbutanone;isopropylbenzene;CC(=O)C(C)(C)C;CC(C)C1=CC=CC=C1;-4.81
1-hexanol;nonane;CCCCCCO;CCCCCCCCC;-4.97
n-hexane;water;CCCCCC;O;2.49
1-hexanol;hexadecane;CCCCCCO;CCCCCCCCCCCCCCCC;-4.92
methylpropanoate;isopropylbenzene;CCC(=O)OC;CC(C)C1=CC=CC=C1;-4.19
n-octane;carbondisulfide;CCCCCCCC;C(=S)=S;-5.68
1,4-dioxane;methylenechloride;C1COCCO1;C(Cl)Cl;-5.33
benzonitrile;heptane;C1=CC=C(C=C1)C#N;CCCCCCC;-5.33
n-octane;cyclohexane;CCCCCCCC;C1CCCCC1;-5.63
propylamine;octane;CCCN;CCCCCCCC;-3
2-pentanone;cyclohexane;CCCC(=O)C;C1CCCCC1;-4.19
propylacetate;decane;CCCCC(=O)O;CCCCCCCCCC;-4.02
aceticacid;heptanol;CC(=O)O;CCCCCCCO;-6.7
2-pentanone;xylene;CCCC(=O)C;CC1=CC(=CC=C1)C;-4.87
4-ethylpyridine;water;CCC1=CC=NC=C1;O;-4.74
1-bromo-isobutane;water;CC(C)CBr;O;-0.03
hexanoicacid;diisopropylether;C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl;CC(C)OC(C)C;-8.23
propionitrile;hexadecane;CCC#N;CCCCCCCCCCCCCCCC;-2.84
tetrafluoromethane;octanol;C(F)(F)(F)F;CCCCCCCCO;1.5
2-octanone;heptane;CCCCCCC(=O)C;CCCCCCC;-5.68
ethylbenzene;octanol;CCC1=CC=CC=C1;CCCCCCCCO;-5.08
1-propanol;iodobenzene;CCCO;C1=CC=C(C=C1)I;-3.52
benzonitrile;water;C1=CC=C(C=C1)C#N;O;-4.1
1,4-dioxane;diisopropylether;C1COCCO1;CC(C)OC(C)C;-4.42
methylbenzoate;cyclohexane;COC(=O)C1=CC=CC=C1;C1CCCCC1;-7.01
toluene;tetrahydrofuran;CC1=CC=CC=C1;C1CCOC1;-5.5
ethylamine;octane;CCN;CCCCCCCC;-2.04
3-iodopropene;hexadecane;C=CCI;CCCCCCCCCCCCCCCC;-4.1
diethylether;cyclohexane;CCOCC;C1CCCCC1;-3.03
toluene;nonanol;CC1=CC=CC=C1;CCCCCCCCCO;-4.34
1-butanol;bromoform;CCCCO;C(Br)(Br)Br;-4.72
chlorodifluoromethane;octanol;C(F)(F)Cl;CCCCCCCCO;-1.97
ethylbenzene;carbontet;CCC1=CC=CC=C1;C(Cl)(Cl)(Cl)Cl;-5.67
2-bromopropane;water;CC(C)Br;O;-0.48
aniline;pentanol;C1=CC=C(C=C1)N;CCCCCO;-6.44
propanoicacid;xylene;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;CC1=CC(=CC=C1)C;-4.72
dimethyldisulfide;hexadecane;CSSC;CCCCCCCCCCCCCCCC;-4.84
bromoform;hexane;C(Br)(Br)Br;CCCCCC;-4.38
dichloromethane;methylenechloride;C(Cl)Cl;C(Cl)Cl;-3.8
1-bromobutane;hexadecane;CCCCBr;CCCCCCCCCCCCCCCC;-4.24
butylacetate;chlorohexane;CCCCCC(=O)[O-];CCCCCCCl;-5.37
phenol;nonanol;C1=CC=C(C=C1)O;CCCCCCCCCO;-8.61
formaldehyde;butanone;C=O;CCC(=O)C;-1.77
pentachloronitrobenzene;water;C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)[N+](=O)[O-];O;-5.22
p-cresol;water;CC1=CC=C(C=C1)O;O;-6.14
pentylacetate;isopropylbenzene;CCCCCOC(=O)C;CC(C)C1=CC=CC=C1;-6.13
nitromethane;propanol;C[N+](=O)[O-];CCCO;-4.04
methylacetate;fluoroctane;CC(=O)OC;CCCCCCCCF;-3.59
dichloromethane;hexadecane;C(Cl)Cl;CCCCCCCCCCCCCCCC;-2.76
n-heptane;hexadecane;CCCCCCC;CCCCCCCCCCCCCCCC;-4.33
aceticacid;xylene;CC(=O)O;CC1=CC(=CC=C1)C;-4.08
1-pentanol;ethylbenzene;CCCCCO;CCC1=CC=CC=C1;-4.72
iodoethane;water;CCI;O;-0.72
m-cresol;decanol;CC1=CC(=CC=C1)O;CCCCCCCCCCO;-8.01
hexanoicacid;butanol;C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl;CCCCO;-8.75
methylpropanoate;decane;CCC(=O)OC;CCCCCCCCCC;-3.49
1-heptanol;water;CCCCCCCO;O;-4.24
tolfenamicacid;octanol;CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O;CCCCCCCCO;-13.76
benzonitrile;cyclohexane;C1=CC=C(C=C1)C#N;C1CCCCC1;-5.54
propanal;water;CCC=O;O;-3.44
benzylalcohol;benzylalcohol;C1=CC=C(C=C1)CO;C1=CC=C(C=C1)CO;-8.61
anthracene;heptane;C1=CC=C2C=C3C=CC=CC3=CC2=C1;CCCCCCC;-10
acetaldehyde;diethylether;CC=O;CCOCC;-2.85
hexachlorobenzene;water;C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl;O;-2.33
ethylacetate;bromooctane;CCOC(=O)C;CCCCCCCCBr;-3.97
2-hexanone;octanol;CCCCC(=O)C;CCCCCCCCO;-5.02
hexanoicacid;benzene;C1=CC=C(C=C1)C[Si](Cl)(Cl)Cl;C1=CC=CC=C1;-6.94
2-chloropropane;water;CC(C)Cl;O;-0.25
ethylamine;pentanol;CCN;CCCCCO;-4.27
methylamine;isobutanol;CN;CC(C)CO;-4.56
1-butene;carbontet;CCC=C;C(Cl)(Cl)(Cl)Cl;-2.48
methylbenzoate;water;COC(=O)C1=CC=CC=C1;O;-3.91
1-heptanol;octane;CCCCCCCO;CCCCCCCC;-5.56
thioanisole;chloroform;CSC1=CC=CC=C1;C(Cl)(Cl)Cl;-5.98
methanol;bromobenzene;CO;C1=CC=C(C=C1)Br;-2.31
propylacetate;decalin;CCCCC(=O)O;C1CCC2CCCCC2C1;-4.05
propanoicacid;benzene;CC(=O)CC(=O)NC1=CC(=C(C=C1OC)OC)Cl;C1=CC=CC=C1;-4.75
2-butanone;dimethylformamide;CCC(=O)C;CN(C)C=O;-4.56
2,2-dichloroethenyldimethylphosphate;water;COP(=O)(OC)OC=C(Cl)Cl;O;-6.61
2-hexanone;toluene;CCCCC(=O)C;CC1=CC=CC=C1;-5.6
1,2-ethanediol;hexadecane;C(CO)O;CCCCCCCCCCCCCCCC;-2.81
2-butanone;bromoethane;CCC(=O)C;CCBr;-5.13
aceticacid;hexadecane;CC(=O)O;CCCCCCCCCCCCCCCC;-2.39
methylbutanoate;water;CCCC(=O)OCC;O;-2.83
1-propanol;pentane;CCCO;CCCCC;-2.76
hydrogen;octanol;[HH];CCCCCCCCO;1.76
dimethylamine;chlorobenzene;CNC;C1=CC=C(C=C1)Cl;-2.75
aniline;bromobenzene;C1=CC=C(C=C1)N;C1=CC=C(C=C1)Br;-6.66
butylamine;nonanol;CCCCN;CCCCCCCCCO;-5.35
tetralin;tetralin;C1CCC2=CC=CC=C2C1;C1CCC2=CC=CC=C2C1;-7.55
1,4-dioxane;dimethylformamide;C1COCCO1;CN(C)C=O;-5.03
