Solute;Solvent;SoluteSMILES;SolventSMILES;DeltaGsolv
2-bromopropane;hexadecane;CC(C)Br;CCCCCCCCCCCCCCCC;-3.26
propyl acetate;decane;CCCOC(=O)C;CCCCCCCCCC;-4.02
p-hydroxybenzaldehyde;octanol;C1=CC(=CC=C1C=O)O;CCCCCCCCO;-12.36
3-pentanone;water;CCC(=O)CC;O;-3.41
thiophene;chloroform;C1=CSC=C1;C(Cl)(Cl)Cl;-5.83
2-butanone;cyclohexane;CCC(=O)C;C1CCCCC1;-3.48
pentyl acetate;bromobenzene;CCCCCOC(=O)C;C1=CC=C(C=C1)Br;-6.35
3-bromopropene;octanol;C=CCBr;CCCCCCCCO;-3.3
cis-1,2-dimethylcyclohexane;water;C[C@@H]1CCCC[C@@H]1C;O;1.58
acetone;benzene;CC(=O)C;C1=CC=CC=C1;-3.79
cyclopentanol;hexadecane;C1CCC(C1)O;CCCCCCCCCCCCCCCC;-4.42
acetophenone;chloroform;CC(=O)C1=CC=CC=C1;C(Cl)(Cl)Cl;-7.81
trichloroethene;undecane;C(=C(Cl)Cl)Cl;CCCCCCCCCCC;-3.87
methylparaben;octanol;COC(=O)C1=CC=C(C=C1)O;CCCCCCCCO;-12.18
isopropanol;diethylether;CC(C)O;CCOCC;-4.44
propyl acetate;bromobenzene;CCCOC(=O)C;C1=CC=C(C=C1)Br;-4.93
p-cresol;octanol;CC1=CC=C(C=C1)O;CCCCCCCCO;-8.84
acetone;chlorohexane;CC(=O)C;CCCCCCCl;-3.45
dioxane;iodobenzene;C1COCCO1;C1=CC=C(C=C1)I;-4.94
iodomethane;hexadecane;CI;CCCCCCCCCCCCCCCC;-2.88
toluene;phenylether;CC1=CC=CC=C1;C1=CC=C(C=C1)OC2=CC=CC=C2;-4.86
water;octanol;O;CCCCCCCCO;-4.43
m-cresol;iodobenzene;CC1=CC(=CC=C1)O;C1=CC=C(C=C1)I;-6.04
3,3-dimethylbutanone;butylbenzene;CC(=O)C(C)(C)C;CCCCC1=CC=CC=C1;-4.77
ethyl acetate;pentadecane;CCOC(=O)C;CCCCCCCCCCCCCCC;-3.37
propyl acetate;pentadecane;CCCOC(=O)C;CCCCCCCCCCCCCCC;-3.91
E-1,2-dichloroethene;hexadecane;C(=C/Cl)\Cl;CCCCCCCCCCCCCCCC;-3.11
2-butanone;nonane;CCC(=O)C;CCCCCCCCC;-3.2
diethylamine;toluene;CCNCC;CC1=CC=CC=C1;-3.75
1-nitrobutane;water;CCCC[N+](=O)[O-];O;-3.08
dipropylamine;octanol;CCCNCCC;CCCCCCCCO;-6.02
2-methylpyridine;dibutyl ether;CC1=CC=CC=N1;CCCCOCCCC;-5.2
dioxane;toluene;C1COCCO1;CC1=CC=CC=C1;-4.91
thioanisole;cyclohexane;CSC1=CC=CC=C1;C1CCCCC1;-5.66
1,2-dimethoxyethane;hexadecane;COCCOC;CCCCCCCCCCCCCCCC;-3.63
ethanol;pyridine;CCO;C1=CC=NC=C1;-5.08
ethyl acetate;pentane;CCOC(=O)C;CCCCC;-3.69
9-methyladenine;chloroform;CN1C=NC2=C(N=CN=C21)N;C(Cl)(Cl)Cl;-12.51
benzene;nonanol;C1=CC=CC=C1;CCCCCCCCCO;-3.82
difluorodichloromethane;cyclohexane;C(F)(F)(Cl)Cl;C1CCCCC1;-1.81
acetic acid;cyclohexanone;CC(=O)O;C1CCC(=O)CC1;-6.43
p-cyanoacetanilide;octanol-water;CC(=O)NC1=CC=C(C=C1)C#N;CCCCCCCCO.O;-1.87
o-cresol;isooctane;CC1=CC=CC=C1O;CC(C)CC(C)(C)C;-5.68
hexanoic acid;nitrobenzene;CCCCCC(=O)O;C1=CC=C(C=C1)[N+](=O)[O-];-7.26
ethanol;acetophenone;CCO;CC(=O)C1=CC=CC=C1;-4.12
2,6-dimethylpyridine;benzene;CC1=NC(=CC=C1)C;C1=CC=CC=C1;-6.39
phthalimide;octanol;C1=CC=C2C(=C1)C(=O)NC2=O;CCCCCCCCO;-11.18
2-ethylpyrazine;dibutyl ether;CCC1=NC=CN=C1;CCCCOCCCC;-5.87
water;isopropylbenzene;O;CC(C)C1=CC=CC=C1;-1.41
benzaldehyde;Carbon tetrachloride;C1=CC=C(C=C1)C=O;C(Cl)(Cl)(Cl)Cl;-6.11
2-ethylpyrazine;octane;CCC1=NC=CN=C1;CCCCCCCC;-5.51
1-butanol;toluene;CCCCO;CC1=CC=CC=C1;-4.31
1-butanol;ethylbenzene;CCCCO;CCC1=CC=CC=C1;-3.77
3-chloropropene;water;C=CCCl;O;-0.57
ethanol;nitromethane;CCO;C[N+](=O)[O-];-4.16
nitroethane;hexane;CC[N+](=O)[O-];CCCCCC;-3.19
2,6-dimethylpyridine;hexadecane;CC1=NC(=CC=C1)C;CCCCCCCCCCCCCCCC;-5.27
phosphine;water;P;O;0.6
isopropanol;octanol;CC(C)O;CCCCCCCCO;-4.62
phenol;heptanol;C1=CC=C(C=C1)O;CCCCCCCO;-8.69
m-xylene;water;CC1=CC(=CC=C1)C;O;-0.84
dioxane;propanol;C1COCCO1;CCCO;-4.61
toluene;nonanol;CC1=CC=CC=C1;CCCCCCCCCO;-4.34
tetrachloroethene;water;C(=C(Cl)Cl)(Cl)Cl;O;0.05
methanol;octanol;CO;CCCCCCCCO;-3.87
benzene;pentanol;C1=CC=CC=C1;CCCCCO;-3.53
p-bromophenol;octanol;C1=CC(=CC=C1O)Br;CCCCCCCCO;-10.59
n-octane;decane;CCCCCCCC;CCCCCCCCCC;-5.18
dimethylsulfoxide;dimethylsulfoxide;CS(=O)C;CS(=O)C;-7.63
phenol;hexane;C1=CC=C(C=C1)O;CCCCCC;-5.49
propionitrile;water;CCC#N;O;-3.85
3,4-dimethylpyridine;water;CC1=C(C=NC=C1)C;O;-5.22
toluene;methylenechloride;CC1=CC=CC=C1;C(Cl)Cl;-5.53
uracil;ethyl acetate;C1=CNC(=O)NC1=O;CCOC(=O)C;-15.43
o-cresol;heptane;CC1=CC=CC=C1O;CCCCCCC;-6.01
t-butanol;benzene;CC(C)(C)O;C1=CC=CC=C1;-3.7
pyridine;octanol;C1=CC=NC=C1;CCCCCCCCO;-5.34
1-butanol;diethylether;CCCCO;CCOCC;-5.69
n-octane;chlorobenzene;CCCCCCCC;C1=CC=C(C=C1)Cl;-5.16
dichloromethane;water;C(Cl)Cl;O;-1.36
dioxane;chloroform;C1COCCO1;C(Cl)(Cl)Cl;-6.21
butyl acetate;chlorohexane;CCCCOC(=O)C;CCCCCCCl;-5.37
1,2-ethanediol;octanol;C(CO)O;CCCCCCCCO;-7.44
ammonia;benzene;N;C1=CC=CC=C1;-1.12
2-methoxybenzoic acid;water;COC1=CC=CC=C1C(=O)O;O;-10.32
ethylamine;decane;CCN;CCCCCCCCCC;-1.92
methyl pentanoate;chlorobenzene;CCCCC(=O)OC;C1=CC=C(C=C1)Cl;-5.83
butanoic acid;nitrobenzene;CCCC(=O)O;C1=CC=C(C=C1)[N+](=O)[O-];-5.84
trichloroacetamide;octanol-water;C(=O)(C(Cl)(Cl)Cl)N;CCCCCCCCO.O;-1.41
2-octanone;hexadecane;CCCCCCC(=O)C;CCCCCCCCCCCCCCCC;-5.81
2-butanone;triethylamine;CCC(=O)C;CCN(CC)CC;-3.86
propyl acetate;t-butylbenzene;CCCOC(=O)C;CC(C)(C)C1=CC=CC=C1;-4.72
p-bromophenol;chloroform;C1=CC(=CC=C1O)Br;C(Cl)(Cl)Cl;-8.59
butyl acetate;pentane;CCCCOC(=O)C;CCCCC;-4.88
methyl propanoate;benzene;CCC(=O)OC;C1=CC=CC=C1;-4.58
diethylether;chloroform;CCOCC;C(Cl)(Cl)Cl;-4.32
methyl acetate;octane;CC(=O)OC;CCCCCCCC;-3.06
acetic acid;diisopropylether;CC(=O)O;CC(C)OC(C)C;-5.73
urea;hexadecane;C(=O)(N)N;CCCCCCCCCCCCCCCC;-6.37
pentanoic acid;tributylphosphate;CCCCC(=O)O;CCCCOP(=O)(OCCCC)OCCCC;-8.82
acetaldehyde;hexadecane;CC=O;CCCCCCCCCCCCCCCC;-1.68
bromoform;hexane;C(Br)(Br)Br;CCCCCC;-4.38
p-hydroxybenzaldehyde;chloroform;C1=CC(=CC=C1C=O)O;C(Cl)(Cl)Cl;-10.3
2,6-dimethylpyridine;water;CC1=NC(=CC=C1)C;O;-4.6
propanoic acid;water;CCC(=O)O;O;-6.47
p-cresol;isooctane;CC1=CC=C(C=C1)O;CC(C)CC(C)(C)C;-5.59
hexanoic acid;diisopropylether;CCCCCC(=O)O;CC(C)OC(C)C;-8.23
n-propane;cyclohexane;CCC;C1CCCCC1;-2.09
2-chloropropane;octanol;CC(C)Cl;CCCCCCCCO;-2.84
methylamine;pentanol;CN;CCCCCO;-3.95
n-octane;nitromethane;CCCCCCCC;C[N+](=O)[O-];-3.15
1,2-dichlorobenzene;octanol;C1=CC=C(C(=C1)Cl)Cl;CCCCCCCCO;-6.01
chlorobenzene;diethylether;C1=CC=C(C=C1)Cl;CCOCC;-5.42
4-methylpyridine;chloroform;CC1=CC=NC=C1;C(Cl)(Cl)Cl;-7.5
propylamine;1,2-Dichlorobenzene;CCCN;C1=CC=C(C(=C1)Cl)Cl;-3.44
acetone;tetrachloroethene;CC(=O)C;C(=C(Cl)Cl)(Cl)Cl;-3.09
1-heptanol;diethylether;CCCCCCCO;CCOCC;-7.51
N-methyl-2-pyrrolidinone;chloroform;CN1CCCC1=O;C(Cl)(Cl)Cl;-9.82
chloroethane;hexadecane;CCCl;CCCCCCCCCCCCCCCC;-2.29
ethyl phenyl ether;octanol;CCOC1=CC=CC=C1;CCCCCCCCO;-5.65
pentyl acetate;perfluorobenzene;CCCCCOC(=O)C;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-6.16
2-butanone;hexane;CCC(=O)C;CCCCCC;-3.48
methanol;diethylether;CO;CCOCC;-3.61
trimethylamine;diethylether;CN(C)C;CCOCC;-2.78
tetrahydropyran;cyclohexane;C1CCOCC1;C1CCCCC1;-4.41
acetone;hexadecane;CC(=O)C;CCCCCCCCCCCCCCCC;-2.31
1-bromo-1-chloro-2,2,2-trifluoroethane;water;C(C(F)(F)F)(Cl)Br;O;-0.13
acetone;Carbon tetrachloride;CC(=O)C;C(Cl)(Cl)(Cl)Cl;-3.35
n-heptane;octanol;CCCCCCC;CCCCCCCCO;-3.74
diethylamine;Carbon tetrachloride;CCNCC;C(Cl)(Cl)(Cl)Cl;-4.12
methylbenzoate;chloroform;COC(=O)C1=CC=CC=C1;C(Cl)(Cl)Cl;-7.81
fluorobenzene;octanol;C1=CC=C(C=C1)F;CCCCCCCCO;-3.87
ethyl acetate;hexane;CCOC(=O)C;CCCCCC;-3.62
methyl pentanoate;isopropylbenzene;CCCCC(=O)OC;CC(C)C1=CC=CC=C1;-5.45
n-octane;acetonitrile;CCCCCCCC;CC#N;-3.57
4-ethylpyridine;octanol;CCC1=CC=NC=C1;CCCCCCCCO;-7.8
diethyldisulfide;hexadecane;CCSSCC;CCCCCCCCCCCCCCCC;-5.74
n-octane;dibutyl ether;CCCCCCCC;CCCCOCCCC;-5.24
phenol;butyl acetate;C1=CC=C(C=C1)O;CCCCOC(=O)C;-8.96
2-methoxyethanamine;water;COCCN;O;-6.55
3,5-dibromo-4-hydroxybenzonitrile;cyclohexane;C1=C(C=C(C(=C1Br)O)Br)C#N;C1CCCCC1;-6.83
anisole;octanol;COC1=CC=CC=C1;CCCCCCCCO;-5.47
propylamine;chlorobenzene;CCCN;C1=CC=C(C=C1)Cl;-3.59
hexanoic acid;isobutanol;CCCCCC(=O)O;CC(C)CO;-8.77
dioxane;benzonitrile;C1COCCO1;C1=CC=C(C=C1)C#N;-5.14
dimethylamine;diethylether;CNC;CCOCC;-2.63
propyl acetate;toluene;CCCOC(=O)C;CC1=CC=CC=C1;-5
1-pentanol;1,2-Dichlorobenzene;CCCCCO;C1=CC=C(C(=C1)Cl)Cl;-4.93
3,3-dimethylbutanone;pentane;CC(=O)C(C)(C)C;CCCCC;-4.43
1,1-difluoroethane;water;CC(F)F;O;-0.11
benzene;decane;C1=CC=CC=C1;CCCCCCCCCC;-3.8
1-butene;octanol;CCC=C;CCCCCCCCO;-1.89
4-fluoroacetanilide;octanol-water;CC(=O)NC1=CC=C(C=C1)F;CCCCCCCCO.O;-1.88
formamide;hexadecane;C(=O)N;CCCCCCCCCCCCCCCC;-2.91
methanol;decane;CO;CCCCCCCCCC;-1.29
toluene;fluorobenzene;CC1=CC=CC=C1;C1=CC=C(C=C1)F;-5.27
1-pentanol;cyclohexane;CCCCCO;C1CCCCC1;-3.61
dioxane;benzylalcohol;C1COCCO1;C1=CC=C(C=C1)CO;-5.39
naphthalene;Carbon tetrachloride;C1=CC=C2C=CC=CC2=C1;C(Cl)(Cl)(Cl)Cl;-7.55
diethylamine;cyclohexane;CCNCC;C1CCCCC1;-3.61
1-pentene;isooctane;CCCC=C;CC(C)CC(C)(C)C;-2.36
methylbenzoate;octanol;COC(=O)C1=CC=CC=C1;CCCCCCCCO;-7.26
trimethylamine;diisopropylether;CN(C)C;CC(C)OC(C)C;-2.74
methyl acetate;perfluorobenzene;CC(=O)OC;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-4.23
butylamine;benzylalcohol;CCCCN;C1=CC=C(C=C1)CO;-5.15
2-heptanone;butylbenzene;CCCCCC(=O)C;CCCCC1=CC=CC=C1;-5.93
pentyl acetate;water;CCCCCOC(=O)C;O;-2.45
aniline;cyclohexane;C1=CC=C(C=C1)N;C1CCCCC1;-5.52
N-methylaniline;cyclohexane;CNC1=CC=CC=C1;C1CCCCC1;-6.33
methyl pentanoate;perfluorobenzene;CCCCC(=O)OC;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-5.59
N,N-diethylacetamide;cyclohexane-water;CCN(CC)C(=O)C;C1CCCCC1.O;1.93
3,3-dimethylbutanone;hexadecane;CC(=O)C(C)(C)C;CCCCCCCCCCCCCCCC;-3.94
thiophenol;octanol;C1=CC=C(C=C1)S;CCCCCCCCO;-5.99
chlorobenzene;octanol;C1=CC=C(C=C1)Cl;CCCCCCCCO;-5
hydrogenperoxide;aniline;OO;C1=CC=C(C=C1)N;-7.8
dioxane;tetrahydrothiophene dioxide;C1COCCO1;C1CCS(=O)(=O)C1;-4.9
acetonitrile;heptane;CC#N;CCCCCCC;-2.06
benzamide;benzene;C1=CC=C(C=C1)C(=O)N;C1=CC=CC=C1;-9.93
ethylbenzene;octanol;CCC1=CC=CC=C1;CCCCCCCCO;-5.08
1-octanol;octanol;CCCCCCCCO;CCCCCCCCO;-8.13
p-bromophenol;bromobenzene;C1=CC(=CC=C1O)Br;C1=CC=C(C=C1)Br;-8.49
dioxane;methylformamide;C1COCCO1;CNC=O;-4.86
naphthalene;heptane;C1=CC=C2C=CC=CC2=C1;CCCCCCC;-7.02
hexanoic acid;hexadecane;CCCCCC(=O)O;CCCCCCCCCCCCCCCC;-5.35
trimethylbenzene;trimethylbenzene;CC1=C(C(=CC=C1)C)C;CC1=C(C(=CC=C1)C)C;-6.47
E-2-pentene;water;CC/C=C/C;O;1.34
butyl acetate;hexane;CCCCOC(=O)C;CCCCCC;-4.86
ethyl acetate;chlorobenzene;CCOC(=O)C;C1=CC=C(C=C1)Cl;-4.63
pentanoic acid;butanol;CCCCC(=O)O;CCCCO;-8.02
p-bromophenol;decanol;C1=CC(=CC=C1O)Br;CCCCCCCCCCO;-10.32
propyl acetate;octane;CCCOC(=O)C;CCCCCCCC;-4.09
n-pentane;pentane;CCCCC;CCCCC;-3.35
butylamine;isopropylbenzene;CCCCN;CC(C)C1=CC=CC=C1;-4.06
1-hexanol;ethyl acetate;CCCCCCO;CCOC(=O)C;-6.92
ethanol;1,2-Dichlorobenzene;CCO;C1=CC=C(C(=C1)Cl)Cl;-2.34
propanoic acid;cyclohexane;CCC(=O)O;C1CCCCC1;-3.78
ethylamine;heptanol;CCN;CCCCCCCO;-4.15
diethylamine;octanol;CCNCC;CCCCCCCCO;-4.75
methanol;bromoform;CO;C(Br)(Br)Br;-2.79
1-iodopentane;water;CCCCCI;O;-0.12
3,5-dimethylpyridine;water;CC1=CC(=CN=C1)C;O;-4.84
diethylamine;octane;CCNCC;CCCCCCCC;-3.42
1-propanol;octane;CCCO;CCCCCCCC;-2.76
benzonitrile;hexadecane;C1=CC=C(C=C1)C#N;CCCCCCCCCCCCCCCC;-5.51
3-methylpyridine;water;CC1=CN=CC=C1;O;-4.77
iodobenzene;hexadecane;C1=CC=C(C=C1)I;CCCCCCCCCCCCCCCC;-6.25
cyclopentanol;water;C1CCC(C1)O;O;-5.49
trichloroethene;water;C(=C(Cl)Cl)Cl;O;-0.39
piperazine;water;C1CNCCN1;O;-7.4
p-bromophenol;toluene;C1=CC(=CC=C1O)Br;CC1=CC=CC=C1;-8.7
p-bromophenol;pentanol;C1=CC(=CC=C1O)Br;CCCCCO;-10.62
dibromomethane;octanol;C(Br)Br;CCCCCCCCO;-4.18
dioxane;cyclohexanone;C1COCCO1;C1CCC(=O)CC1;-4.95
1-hexanol;chlorobenzene;CCCCCCO;C1=CC=C(C=C1)Cl;-5.98
aniline;heptane;C1=CC=C(C=C1)N;CCCCCCC;-5.38
methylamine;chloroform;CN;C(Cl)(Cl)Cl;-3.17
4-fluorophenylurea;octanol-water;C1=CC(=CC=C1NC(=O)N)F;CCCCCCCCO.O;-1.42
m-bis(trifluoromethyl)benzene;water;C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F;O;1.07
methanol;ethylbenzene;CO;CCC1=CC=CC=C1;-1.43
2-heptanone;heptane;CCCCCC(=O)C;CCCCCCC;-5.22
dimethoxymethane;water;COCOC;O;-2.93
2-heptanone;decane;CCCCCC(=O)C;CCCCCCCCCC;-5.18
anthracene;water;C1=CC=C2C=C3C=CC=CC3=CC2=C1;O;-4.23
1-methylthymine;water;CC1=CN(C(=O)NC1=O)C;O;-10.4
1,1,1-trichloroethane;hexadecane;CC(Cl)(Cl)Cl;CCCCCCCCCCCCCCCC;-3.73
n-heptane;heptane;CCCCCCC;CCCCCCC;-4.65
toluene;dimethylpyridine;CC1=CC=CC=C1;CC1=C(N=CC=C1)C;-5.03
4-methoxybenzoic acid;octanol;COC1=CC=C(C=C1)C(=O)O;CCCCCCCCO;-11.82
dimethylamine;water;CNC;O;-4.29
2-nitropropane;water;CC(C)[N+](=O)[O-];O;-3.14
butanoic acid;tributylphosphate;CCCC(=O)O;CCCCOP(=O)(OCCCC)OCCCC;-8.29
2,2'-dichlorobiphenyl;heptane;C1=CC=C(C(=C1)C2=CC=CC=C2Cl)Cl;CCCCCCC;-9.22
anisole;decalin;COC1=CC=CC=C1;C1CCC2CCCCC2C1;-5
3,3-dimethylbutanone;tetralin;CC(=O)C(C)(C)C;C1CCC2=CC=CC=C2C1;-4.19
benzonitrile;diethylether;C1=CC=C(C=C1)C#N;CCOCC;-6.36
triethylphosphate;chloroform;CCOP(=O)(OCC)OCC;C(Cl)(Cl)Cl;-10.9
hydrogenperoxide;toluene;OO;CC1=CC=CC=C1;-3.14
n-octane;chloroform;CCCCCCCC;C(Cl)(Cl)Cl;-5.25
2-hexanone;isopropylbenzene;CCCCC(=O)C;CC(C)C1=CC=CC=C1;-5.39
nitromethane;acetophenone;C[N+](=O)[O-];CC(=O)C1=CC=CC=C1;-4.92
chlorobenzene;chlorobenzene;C1=CC=C(C=C1)Cl;C1=CC=C(C=C1)Cl;-5.66
aniline;octane;C1=CC=C(C=C1)N;CCCCCCCC;-4.84
1-propanol;ethylbenzene;CCCO;CCC1=CC=CC=C1;-3.71
1-butanol;heptane;CCCCO;CCCCCCC;-3.66
methyl acetate;ethylbenzene;CC(=O)OC;CCC1=CC=CC=C1;-3.74
aniline;toluene;C1=CC=C(C=C1)N;CC1=CC=CC=C1;-6.69
trimethylamine;water;CN(C)C;O;-3.23
nitromethane;aniline;C[N+](=O)[O-];C1=CC=C(C=C1)N;-5.11
nitromethane;triethylamine;C[N+](=O)[O-];CCN(CC)CC;-3.63
ethanol;m-cresol;CCO;CC1=CC(=CC=C1)O;-5.58
2-methoxyethanol;octanol;COCCO;CCCCCCCCO;-5.83
acetic acid;acetic acid;CC(=O)O;CC(=O)O;-5.3
1,1-diacetoxyethane;water;CC(OC(=O)C)OC(=O)C;O;-4.97
ethyl acetate;toluene;CCOC(=O)C;CC1=CC=CC=C1;-4.41
hydrazine;water;NN;O;-6.26
methyl acetate;cyclohexane;CC(=O)OC;C1CCCCC1;-3.06
o-cresol;hexadecane;CC1=CC=CC=C1O;CCCCCCCCCCCCCCCC;-5.78
ethanol;toluene;CCO;CC1=CC=CC=C1;-3.33
1-octanol;hexadecane;CCCCCCCCO;CCCCCCCCCCCCCCCC;-6.3
4-methylpyridine;cyclohexane;CC1=CC=NC=C1;C1CCCCC1;-5.23
morpholine;chloroform;C1COCCN1;C(Cl)(Cl)Cl;-6.72
methyl acetate;t-butylbenzene;CC(=O)OC;CC(C)(C)C1=CC=CC=C1;-3.57
o-cresol;dichloroethane;CC1=CC=CC=C1O;CC(Cl)Cl;-7.73
4-nitroaniline;octanol;C1=CC(=CC=C1N)[N+](=O)[O-];CCCCCCCCO;-11.35
methylhexanoate;chloroform;CCCCCC(=O)OC;C(Cl)(Cl)Cl;-7.24
2-iodopropane;octanol;CC(C)I;CCCCCCCCO;-4.4
1-fluorohexane;hexadecane;CCCCCCF;CCCCCCCCCCCCCCCC;-4.03
toluene;isooctane;CC1=CC=CC=C1;CC(C)CC(C)(C)C;-4.68
1-butanol;water;CCCCO;O;-4.72
2-methyl-1-nitrobenzene;Carbon tetrachloride;CC1=CC=CC=C1[N+](=O)[O-];C(Cl)(Cl)(Cl)Cl;-7.49
methylhexanoate;perfluorobenzene;CCCCCC(=O)OC;C1(=C(C(=C(C(=C1F)F)F)F)F)F;-6.21
butylamine;decane;CCCCN;CCCCCCCCCC;-3.55
pentyl acetate;ethylbenzene;CCCCCOC(=O)C;CCC1=CC=CC=C1;-6.2
2-pentanone;isooctane;CCCC(=O)C;CC(C)CC(C)(C)C;-4.14
butyl acetate;butylbenzene;CCCCOC(=O)C;CCCCC1=CC=CC=C1;-5.28
ethanol;propanol;CCO;CCCO;-5.01
n-octane;toluene;CCCCCCCC;CC1=CC=CC=C1;-5.38
methane;water;C;O;2
p-hydroxybenzaldehyde;benzene;C1=CC(=CC=C1C=O)O;C1=CC=CC=C1;-9.73
